Item,Quantity,Use,Cost(thb)+shipping,Link
Screws / Standoffs / Tape,1 set,Assembly hardware for frame and electronics,128,https://shopee.co.th/Cc-180-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-M3-%E0%B9%84%E0%B8%99%E0%B8%A5%E0%B8%AD%E0%B8%99%E0%B8%AA%E0%B8%B5%E0%B8%94%E0%B9%8D%E0%B8%B2-Hex-MF-Spacers-%E0%B8%AA%E0%B8%81%E0%B8%A3%E0%B8%B9%E0%B8%96%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%AA%E0%B8%B2%E0%B8%A3%E0%B8%9E%E0%B8%B1%E0%B8%99-Standoff-%E0%B9%83%E0%B8%AB%E0%B8%A1%E0%B9%88-i.266356620.44353195543?extraParams=%7B%22display_model_id%22%3A270264315517%2C%22model_selection_logic%22%3A3%7D&sp_atk=0c5c44b2-2972-48a5-a73a-fe93b2210c0d&xptdk=0c5c44b2-2972-48a5-a73a-fe93b2210c0d
Motor mounting bracket,2,Holds motor securely in place,120,https://shopee.co.th/%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%A2%E0%B8%B6%E0%B8%94%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C-16GA-%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%A3%E0%B8%B1%E0%B8%9A-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%A2%E0%B8%B2%E0%B8%A7-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%84%E0%B8%A3%E0%B8%AD%E0%B8%9A%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C-Motor-Mount-Holder-Bracket-Motor-i.5641091.25757917568?extraParams=%7B%22display_model_id%22%3A197741331002%2C%22model_selection_logic%22%3A3%7D&sp_atk=8de6153c-9605-451b-9fab-af2e45aa802f&xptdk=8de6153c-9605-451b-9fab-af2e45aa802f
Soldering iron,1,needed to solder parts together,197,https://shopee.co.th/%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B9%81%E0%B8%A3%E0%B9%89%E0%B8%87%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-15-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%88%E0%B8%AD%E0%B9%81%E0%B8%AA%E0%B8%94%E0%B8%87%E0%B8%9C%E0%B8%A5%E0%B8%94%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%AD%E0%B8%A5-i.1198267900.25324123792?extraParams=%7B%22display_model_id%22%3A250635337009%2C%22model_selection_logic%22%3A3%7D&rModelId=250635337009&sp_atk=48ac7c46-89c0-4e79-a02a-c1a16f42ead9&vItemId=27690169019&vModelId=243767613376&vShopId=1449018616&xptdk=48ac7c46-89c0-4e79-a02a-c1a16f42ead9
Hot glue gun sticks,1 pack,needed for my hot glue gun,150,https://shopee.co.th/50-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-7-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%A3-100-%E0%B8%A1%E0%B8%B4%E0%B8%A5%E0%B8%A5%E0%B8%B4%E0%B9%80%E0%B8%A1%E0%B8%95%E0%B8%A3%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B9%88%E0%B8%87%E0%B9%83%E0%B8%AA-Hot-Melt-%E0%B8%81%E0%B8%B2%E0%B8%A7-Sticks-%E0%B8%AA%E0%B9%8D%E0%B8%B2%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%84%E0%B8%A7%E0%B8%B2%E0%B8%A1%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%99%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%9E%E0%B8%81%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%81%E0%B8%B2%E0%B8%A7%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%9B%E0%B8%B7%E0%B8%99%E0%B8%AB%E0%B8%B1%E0%B8%95%E0%B8%96%E0%B8%81%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%8B%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%84%E0%B8%9B%E0%B8%81%E0%B8%B2%E0%B8%A7-DIY-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%A1%E0%B8%B7%E0%B8%AD-i.102282123.25481407599?extraParams=%7B%22display_model_id%22%3A222841142091%2C%22model_selection_logic%22%3A3%7D&sp_atk=8ebf9c46-6013-42ce-93b3-87f9d9e26f0b&xptdk=8ebf9c46-6013-42ce-93b3-87f9d9e26f0b
Solder Wire,2,needed for the soldering iron,68,https://shopee.co.th/63-37-Tin-Rosin-Core-Solder-Wire-%E0%B8%A5%E0%B8%A7%E0%B8%94%E0%B8%9A%E0%B8%B1%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B5%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1-Flux-PCB-DIY-%E0%B8%8B%E0%B9%88%E0%B8%AD%E0%B8%A1%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%8A%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%A1-i.1588910811.43908798277?extraParams=%7B%22display_model_id%22%3A270739929870%2C%22model_selection_logic%22%3A3%7D&sp_atk=22012d0b-5939-4f72-bb38-8be191248bcc&xptdk=22012d0b-5939-4f72-bb38-8be191248bcc
Foam Stppers,18,flexibility for positioning,375,https://shopee.co.th/%E0%B8%A2%E0%B8%B2%E0%B8%87-ABS-%E0%B9%84%E0%B8%99%E0%B8%A5%E0%B8%AD%E0%B8%99%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81-Non-Threaded-Spacer-Universal-Round-Hollow-Standoff-%E0%B8%A5%E0%B9%89%E0%B8%AD-Bushing-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8B%E0%B8%B1%E0%B8%81%E0%B8%9C%E0%B9%89%E0%B8%B2-i.1563168817.42274128209?extraParams=%7B%22display_model_id%22%3A271959099210%2C%22model_selection_logic%22%3A3%7D&sp_atk=31c21691-e91e-4766-8b14-a3dc42614c86&xptdk=31c21691-e91e-4766-8b14-a3dc42614c86
Stepper Motor,1,Acts as a better generator to draw more current,350,https://shopee.co.th/%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B9%87%E0%B8%9B%E0%B9%80%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%A1%E0%B8%AD%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C-42BYGH47-401A-Nema-17-Stepper-Motor-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F-i.167942403.5211959162?extraParams=%7B%22display_model_id%22%3A42138925416%2C%22model_selection_logic%22%3A3%7D&sp_atk=d4161e4d-74c0-4722-ad6a-ceace29662b8&xptdk=d4161e4d-74c0-4722-ad6a-ceace29662b8
Resistor,1,Used to protect LED from burning,80,https://shopee.co.th/R-Resistor-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%99-1-1W-5-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-1R-10R-100R-1k-10k-100k-1M-2.2M-4.7M-i.76886102.2652788779?extraParams=%7B%22display_model_id%22%3A6133129233%2C%22model_selection_logic%22%3A3%7D&sp_atk=46329610-af8e-4693-b857-b663ffd2efd0&xptdk=46329610-af8e-4693-b857-b663ffd2efd0
Booster,1,Keep voltage constant at 4-5V,41,https://shopee.co.th/MT3608-2A-Max-DC-DC-Step-Up-Power-Booster-Power-Module-DIY-MT3608-i.111213050.4915729787?extraParams=%7B%22display_model_id%22%3A57532340886%2C%22model_selection_logic%22%3A3%7D&sp_atk=09aaf56a-191c-402c-b2c9-4abcb15c1f97&xptdk=09aaf56a-191c-402c-b2c9-4abcb15c1f97
ESP 32,2,Used to control the LED,360,https://shopee.co.th/%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94-ESP32-30%E0%B8%82%E0%B8%B2-ESP-32-30pin-%E0%B9%81%E0%B8%9A%E0%B8%9A-USB-Micro-Type-C-NodeMCU-Board-CH9102X-WiFi-Bluetooth-%E0%B8%90%E0%B8%B2%E0%B8%99%E0%B8%A3%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94-Expansion-board-i.944231623.25877622046?xptdk=dfcabbe2-db84-44a0-9b0f-67ab447aada3
